id,小区,商圈,户型,面积,朝向,楼层,电梯,挂牌价万,单价元平,年限,评分,注
HS0001,示例·北苑1区,通州北苑,2室1厅1卫,98.0,南,中楼层/24层,有,270.9,24092,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0002,示例·北苑2区,通州北苑,2室2厅1卫,97.0,西南,低楼层/29层,有,228.5,23907,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0003,示例·果园3区,通州果园,2室2厅1卫,99.0,南,高楼层/18层,有,244.2,23811,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0004,示例·果园4区,通州果园,2室2厅1卫,103.0,南,高楼层/18层,有,277.2,21995,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0005,示例·梨园5区,通州梨园,3室1厅1卫,100.0,东南,中楼层/19层,有,292.0,27037,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0006,示例·果园6区,通州果园,2室1厅1卫,87.0,南,低楼层/18层,有,228.0,28731,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0007,示例·果园7区,通州果园,2室2厅1卫,99.0,南,高楼层/18层,有,230.8,25500,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0008,示例·东坝8区,朝阳东坝,2室1厅1卫,66.0,南,中楼层/18层,有,186.0,27316,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0009,示例·九棵树9区,通州九棵树,2室1厅1卫,91.0,南,底层/18层,有,191.5,23478,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0010,示例·豆各庄10区,朝阳豆各庄,2室1厅1卫,85.0,南,高楼层/26层,有,261.2,25242,未满两年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0011,示例·北关11区,通州北关,2室1厅1卫,96.0,东,低楼层/26层,有,246.7,24470,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0012,示例·九棵树12区,通州九棵树,2室1厅1卫,89.0,南,低楼层/15层,有,199.0,21863,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0013,示例·果园13区,通州果园,3室2厅2卫,115.0,南,中楼层/7层,无,340.0,25236,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
HS0014,示例·北关14区,通州北关,2室2厅1卫,100.0,南,顶层/26层,有,218.6,22913,满五年,,脱敏示例，结构与真实分布一致，数值已扰动
